Speed,Vertical_Acceleration,Lateral_Acceleration,Longitudinal_Acceleration,Roll,Pitch,Yaw
97.6,-0.045,0.006,-0.035,-1.544,0.006,0.058
97.8,0.013,-0.015,0.003,-1.565,0.038,0.233
82.5,-0.037,0,0.023,-1.567,-0.025,2.867
87.8,-0.001,0.005,-0.027,-1.548,-0.005,-0.052
108.9,-0.025,0.011,-0.033,-1.537,-0.026,2.43
89.5,0.004,-0.006,-0.012,-1.495,-0.072,-1.064
90.7,0.01,0.006,-0.036,-1.583,0.034,-0.932
81,-0.035,0.01,-0.024,-1.563,-0.011,2.899
108.3,-0.014,0.006,-0.032,-1.544,0.021,2.449
91.4,-0.026,-0.017,-0.045,-1.639,-0.012,-2.546
119.3,-0.06,0.02,0.016,-1.532,0.112,-1.539
99.5,-0.025,0,-0.02,-1.556,0.021,-3.022
78.2,0.021,0.012,-0.01,-1.526,0.015,-0.98
77.5,0,-0.008,0.03,-1.634,0.016,0.15
85.2,0.016,0.033,0.015,-1.568,-0.003,-0.195
84.3,-0.01,-0.028,0.007,-1.546,-0.038,1.205
84,0.009,-0.018,0.013,-1.521,0.007,0.364
87.2,0.008,0,0.009,-1.56,-0.03,1.772
91.8,-0.003,0.008,-0.014,-1.534,-0.016,1.159
113.7,-0.008,0.022,-0.01,-1.598,-0.042,-2.842
76.3,-0.106,-0.058,-0.169,-1.707,-0.328,-0.972
105.3,0.013,0.044,-0.004,-1.497,-0.018,-1.746
84.5,-0.005,-0.008,-0.02,-1.542,0.015,3.044
94,-0.017,0.02,0,-1.57,-0.015,-2.538
130,-0.02,-0.025,-0.03,-1.562,0.017,-3.051
124.8,0.001,0.01,-0.022,-1.577,0.01,-3.044
89.3,0.013,0.002,-0.004,-1.572,-0.034,-0.221
120.9,0.015,-0.034,-0.022,-1.609,0.07,0.384
91.2,-0.006,0.058,0,-1.594,0.044,0.749
92.8,-0.006,0.015,-0.071,-1.435,-0.007,2.57
86.1,-0.016,-0.047,0,-1.588,0.014,-0.202
72.6,-0.051,0,0.007,-1.514,0.004,1.379
110.7,-0.045,-0.012,0.015,-1.527,0.029,-0.143
114.9,0.024,0.006,-0.046,-1.553,0.03,0.156
85.3,0.003,-0.011,0.026,-1.565,-0.026,-0.292
116.4,-0.018,-0.01,0,-1.588,-0.01,0.052
103.4,0.009,-0.017,0.007,-1.615,0.03,0.453
115.5,0.004,-0.008,-0.001,-1.56,-0.039,0.429
131.7,-0.001,0.042,0.03,-1.518,-0.012,-2.073
84.6,-0.037,-0.003,-0.006,-1.58,-0.036,-0.149
129.3,-0.022,-0.022,-0.05,-1.583,-0.012,2.03
138.6,-0.005,0.023,-0.031,-1.579,-0.016,-2.481
86.7,0.025,0.01,0.042,-1.533,0.033,-0.018
130.5,0.008,-0.004,0.01,-1.543,0.033,2.749
87.9,0.033,0.006,-0.001,-1.484,-0.015,-0.202
112.7,-0.018,0.037,-0.006,-1.543,0.005,-1.299
119.3,-0.008,0.001,0.07,-1.564,0.033,0.134
74,-0.004,-0.042,0.002,-1.542,0.028,-1.215
92.9,-0.009,0.06,0,-1.502,-0.018,1.606
104.7,0.01,0.015,0.014,-1.603,-0.025,0.106
95.2,-0.018,0.02,-0.023,-1.507,-0.089,-1.002
89.5,-0.052,-0.07,-0.027,-1.562,0.019,0.542
84.6,-0.087,-0.042,-0.025,-1.628,-0.027,-3.102
84.8,0.001,-0.007,-0.004,-1.557,0.014,2.912
101.4,0.007,-0.008,-0.032,-1.609,-0.023,-2.499
90.4,-0.012,0.03,0.019,-1.551,0.009,-0.987
96.9,-0.041,0.028,0.009,-1.543,-0.013,-3.129
91.8,-0.005,0.001,-0.017,-1.536,0.053,0.477
72,-0.018,-0.007,0.001,-1.516,-0.018,-1.328
103.8,-0.021,-0.004,-0.007,-1.559,0.019,0.105
80.3,-0.009,-0.012,-0.005,-1.568,0.015,-0.123
82.4,0.025,0.008,0.01,-1.57,0.006,1.562
87.4,-0.019,0.007,-0.018,-1.552,-0.032,1.773
86.4,-0.084,-0.064,0.001,-1.61,0.317,1.069
82.1,-0.023,-0.032,0.052,-1.588,-0.026,-2.738
102.4,-0.038,0.004,0.015,-1.562,-0.005,-2.655
123.7,-0.007,0.006,0.007,-1.533,-0.012,-2.405
94,-0.032,0.007,-0.013,-1.608,-0.094,0.022
111,-0.021,0.036,-0.001,-1.519,-0.007,2.464
80,-0.018,0.001,-0.006,-1.585,-0.031,-0.929
85,0.002,0.006,0.007,-1.553,-0.024,0.676
109.7,-0.022,0.001,-0.009,-1.536,0.03,-1.45
50.4,0.002,-0.026,-0.003,-1.604,0.01,-3.138
85,-0.004,-0.001,0.007,-1.56,-0.049,-0.833
82.1,-0.011,0.008,0.008,-1.569,-0.022,1.952
78.3,-0.024,0.047,-0.02,-1.557,-0.038,2.029
92,-0.039,-0.011,0.002,-1.544,0.001,-1.515
138.1,-0.009,-0.004,0.007,-1.529,-0.005,0.307
77.5,-0.019,0.012,-0.033,-1.521,-0.034,-1.292
96.9,-0.015,-0.001,-0.003,-1.5,-0.033,1.658
102.2,-0.018,0.043,0.022,-1.558,-0.023,-2.748
95.1,-0.018,-0.02,0,-1.547,-0.017,1.371
57.9,-0.017,0.001,0.024,-1.482,0.004,-1.476
84.2,0.023,-0.01,-0.001,-1.583,-0.026,1.388
91,-0.011,-0.025,0.013,-1.581,-0.017,0.9
97.3,0.022,-0.006,0.001,-1.539,0.023,-0.639
101.5,-0.033,0.008,0.023,-1.578,0.026,0.149
89.4,0.019,-0.035,-0.017,-1.516,-0.005,-1.3
85.7,0.003,-0.012,0.009,-1.51,-0.029,1.945
88.6,-0.017,0.005,-0.028,-1.593,0.017,1.812
90.8,0.007,-0.006,0.025,-1.587,-0.019,-2.809
89.2,0.008,0.004,-0.011,-1.573,-0.014,0.068
100.5,-0.021,0.094,0.022,-1.606,0.083,-1.821
102,-0.004,-0.027,0.011,-1.637,-0.008,1.678
95.1,-0.039,0.01,-0.016,-1.56,-0.033,0.706
75.7,0.004,-0.019,0.015,-1.557,-0.021,-1.669
123.4,-0.007,0.022,-0.021,-1.545,0.017,2.68
98.3,-0.033,0.016,0.005,-1.519,0,0.765
96.4,-0.019,0.006,-0.016,-1.568,-0.002,-2.735
100.5,-0.019,0.032,0.018,-1.573,-0.02,-2.816
86.6,-0.012,-0.001,-0.005,-1.551,-0.016,-2.779
85.6,-0.028,0.008,-0.006,-1.54,0.014,0.052
73,-0.017,0.01,0.007,-1.584,0.012,2.955
83.8,-0.006,-0.012,0.018,-1.59,0.044,0.342
81.6,-0.021,-0.016,-0.011,-1.638,-0.006,-0.235
88.3,-0.02,0.058,-0.019,-1.613,-0.067,0.055
87.7,0.013,-0.049,-0.022,-1.558,0.006,-0.002
93.3,-0.004,0.057,-0.013,-1.558,-0.013,-1.3
87.7,0.001,-0.018,0.054,-1.45,0.017,0.055
131.4,0.011,-0.001,-0.001,-1.504,-0.063,-2.563
86.6,0.007,-0.023,0.002,-1.567,-0.052,1.787
46.5,-0.01,0.021,0.023,-1.654,-0.008,-2.897
108.9,-0.025,-0.045,-0.016,-1.652,-0.04,-2.56
96.2,0.012,0.009,-0.015,-1.529,0.012,-0.639
80.3,-0.015,0.01,-0.011,-1.581,-0.02,-0.667
89.7,-0.04,-0.027,-0.017,-1.567,0.028,-2.85
84.2,-0.015,0.014,-0.016,-1.496,0.019,-0.599
71.7,-0.009,0.018,0.018,-1.513,0.007,-1.145
95,-0.021,-0.02,0.016,-1.555,-0.033,-2.56
93.3,-0.065,0.026,-0.011,-1.534,0.011,0.17
81.4,-0.009,-0.03,-0.005,-1.535,-0.04,1.133
104.5,-0.03,0.009,-0.018,-1.596,-0.012,0.013
90.1,-0.022,-0.003,-0.03,-1.583,-0.063,-0.025
114.9,-0.023,0.005,-0.003,-1.562,-0.038,-1.434
98.7,0.001,0.015,-0.003,-1.572,-0.021,0.048
90.6,-0.011,-0.019,0.033,-1.512,-0.029,-2.247
92.1,-0.031,0.006,0.04,-1.552,0.029,-0.195
113.9,-0.063,0.016,0.045,-1.512,0.028,-0.839
75.2,0.008,-0.001,-0.004,-1.607,0.004,0.01
68.7,-0.034,-0.025,-0.033,-1.542,-0.045,0.01
94.6,-0.037,-0.017,-0.019,-1.601,-0.055,-1.132
93.6,-0.025,-0.016,-0.03,-1.579,-0.018,-1.791
85.6,-0.017,-0.002,-0.003,-1.535,-0.034,-2.841
97.2,-0.035,0.028,-0.03,-1.55,-0.032,0.131
108,-0.002,0.036,-0.029,-1.528,0.04,-1.649
90.8,-0.002,-0.044,0.062,-1.575,-0.031,-2.439
92.8,0.01,-0.006,0.005,-1.553,-0.044,0.486
82.4,0.049,-0.013,0.015,-1.508,-0.035,-0.089
87,0.013,0.012,0.05,-1.568,0.001,0.479
82.3,-0.054,0.013,-0.04,-1.561,0.004,0.171
90.8,0.022,0.022,-0.011,-1.498,0.047,-0.922
81,-0.013,-0.004,0.004,-1.597,-0.035,-0.594
84.9,-0.01,0,-0.015,-1.577,-0.029,1.094
108.2,0.021,-0.02,-0.011,-1.633,-0.018,-2.502
70.7,0.013,-0.022,-0.004,-1.517,0.026,-1.413
75,0.005,0.026,0.004,-1.548,0.022,-1.207
88.5,-0.036,-0.003,0,-1.608,0.003,0.105
93,-0.002,-0.008,-0.022,-1.557,0.033,-2.893
105.2,-0.01,0.045,-0.019,-1.503,-0.035,-1.835
87.4,-0.032,0.045,-0.016,-1.572,0.016,-0.264
96.3,0.015,-0.023,-0.019,-1.534,-0.02,0.786
85.5,-0.041,0.02,-0.011,-1.579,-0.051,-0.36
91.7,-0.023,0.015,0.003,-1.514,-0.022,1.494
132.8,-0.004,0.029,-0.018,-1.592,0.061,2.93
0,0.013,0.008,0.007,-1.661,-0.019,0.015
102.6,-0.045,0.014,-0.001,-1.435,0,2.797
93.5,-0.033,0,-0.005,-1.572,0.018,-3.005
92.6,0.013,0.025,0.007,-1.566,-0.009,0.105
114.3,-0.011,0.001,-0.005,-1.584,0.003,0.125
78.2,-0.019,0.014,0.041,-1.459,-0.045,-1.809
89.1,0.004,0.003,-0.013,-1.534,0.019,0.043
79.5,0.02,0.017,-0.006,-1.597,-0.012,0.261
89.6,-0.019,0.005,-0.004,-1.538,0.02,0.041
89.9,-0.007,0.015,-0.002,-1.543,0.028,0.31
62.4,-0.014,-0.02,-0.059,-1.459,-0.01,-1.451
104.8,-0.002,-0.028,-0.038,-1.559,0.042,1.877
91.8,-0.027,0.03,-0.014,-1.606,0.043,0.173
87.8,-0.009,0.043,-0.058,-1.548,-0.012,-1.29
94.1,0.032,-0.016,0.048,-1.546,-0.017,-3.07
93,-0.013,-0.04,0.016,-1.587,-0.039,-2.851
126.2,0,-0.003,0.022,-1.65,-0.052,2.463
88.7,-0.035,0,0.024,-1.502,-0.024,0.906
105.4,-0.002,0.007,-0.008,-1.599,-0.018,-1.197
109.9,-0.019,-0.025,0.005,-1.583,0.017,0.013
86.1,-0.014,0.02,-0.04,-1.593,-0.007,-0.897
105.3,-0.018,-0.019,0.025,-1.562,-0.036,-2.727
110.2,-0.014,-0.009,-0.01,-1.577,0.029,1.845
86.8,-0.014,0.016,0.007,-1.557,-0.013,-2.426
87.9,-0.01,0.004,0.016,-1.483,0.022,0.462
91.7,-0.013,-0.02,-0.067,-1.56,-0.038,-0.03
87.2,-0.009,0.065,-0.014,-1.506,0.012,1.457
76.4,-0.022,0.013,0,-1.534,0.026,-1.464
133.4,-0.031,-0.025,-0.063,-1.576,-0.034,2.461
100.7,-0.012,-0.013,-0.004,-1.59,-0.035,-0.115
87.9,-0.017,-0.017,0.057,-1.444,-0.005,0.135
90.9,-0.007,0.006,0,-1.523,0.029,0.189
80.9,-0.057,0.019,0.004,-1.68,0.016,-1.087
94.1,-0.006,0.022,-0.005,-1.544,-0.014,2.444
82.1,-0.028,0.008,-0.041,-1.534,-0.011,-0.84
109.8,-0.004,0.008,-0.012,-1.55,0.028,-1.221
91.1,0.011,0.001,0.01,-1.606,0.019,-1.071
88.8,0.01,0.014,-0.009,-1.523,0.02,0.492
87.5,0.006,0.01,0.003,-1.601,-0.001,0.104
103.6,-0.033,0.018,-0.017,-1.504,-0.057,1.305
106.6,-0.024,-0.01,-0.004,-1.541,0.012,-2.799
114.1,-0.006,0.016,-0.015,-1.522,-0.04,-1.458
78.9,-0.015,0.005,-0.022,-1.583,-0.007,-0.151
118.3,-0.091,-0.027,-0.026,-1.548,-0.025,1.765
99.1,-0.031,0.007,-0.035,-1.55,-0.05,-2.867
98.9,-0.031,0.005,-0.007,-1.518,0,1.553
84.8,0.002,0.008,0.012,-1.57,-0.021,-3.012
86.7,-0.016,0.04,-0.008,-1.576,-0.014,1.673
78.4,-0.028,0.006,-0.004,-1.555,-0.043,-0.931
76.2,-0.003,-0.014,-0.01,-1.666,-0.009,2.606
83.8,-0.009,-0.024,0.004,-1.562,0.008,1.692
97.8,0.009,-0.035,0.016,-1.546,-0.024,-2.861
120,-0.022,-0.075,-0.027,-1.53,-0.047,-2.539
102.8,-0.037,-0.024,0.003,-1.564,0.027,2.566
102.4,0.018,-0.015,-0.013,-1.559,0.006,-2.658
73.9,0,0.005,0.013,-1.55,-0.014,3.099
88.6,-0.039,-0.004,-0.004,-1.55,0.039,-0.932
78.7,-0.017,-0.004,0.047,-1.551,-0.009,-0.833
102.7,-0.043,0.008,-0.015,-1.634,0.022,-1.439
118.4,-0.014,0.015,-0.01,-1.502,-0.044,-0.158
82.6,-0.044,-0.068,-0.022,-1.488,0.004,-0.958
93.7,0.007,0.032,-0.04,-1.499,0,1.596
104.6,0.005,-0.03,-0.006,-1.524,-0.015,2.017
127.3,0.001,-0.02,0.002,-1.555,-0.079,0.296
92.5,-0.003,-0.003,-0.005,-1.572,0.003,0.169
83.8,0.007,-0.042,0.067,-1.547,0.002,-1.287
84.4,-0.015,-0.006,0.047,-1.554,-0.017,-0.053
55.3,0.014,0.028,-0.065,-1.603,0.259,0.573
104.6,-0.037,0,0.008,-1.569,0.011,-3.031
116.2,-0.004,0.011,0.017,-1.555,-0.006,1.881
90,-0.02,0,-0.012,-1.56,0.003,-2.921
75.8,-0.042,0.006,0.048,-1.499,-0.011,0.279
78.4,-0.028,-0.06,-0.016,-1.62,-0.023,0.012
95.9,-0.002,0.036,0.006,-1.497,-0.019,1.595
82,-0.006,-0.01,0.008,-1.545,-0.018,-1.485
132,-0.065,-0.089,-0.035,-1.57,-0.04,-2.978
112,-0.011,-0.019,0.003,-1.558,-0.025,2.284
91.2,-0.004,-0.008,-0.004,-1.501,-0.085,-1.054
92.4,-0.026,-0.017,-0.029,-1.513,-0.063,-1.195
103.9,-0.024,-0.002,0.021,-1.557,0.019,-2.769
83.7,0.004,0.008,0.008,-1.568,0.002,0.044
105,0.004,-0.049,-0.063,-1.59,-0.03,-2.492
105.5,-0.005,0.002,-0.011,-1.527,0.034,2.828
104.6,-0.027,-0.015,-0.003,-1.554,-0.059,-1.405
79.5,-0.022,-0.014,-0.023,-1.569,0.021,-2.816
80.7,-0.003,-0.018,-0.005,-1.558,0.007,1.786
87.7,-0.012,-0.006,0.013,-1.543,-0.04,-0.72
68.4,0.022,0.17,0.015,-1.653,0.118,-2.397
87.4,-0.012,0.008,-0.042,-1.538,0.03,-2.623
80,-0.045,-0.076,0.006,-1.547,0.04,2.984
100.4,0.014,0.003,0.051,-1.54,-0.027,0.04
85.2,-0.1,-0.402,-0.017,-1.616,-0.407,-0.405
81.7,-0.033,0,0.008,-1.543,-0.024,2.984
90.6,0.017,0.031,0.011,-1.547,-0.019,-2.877
81.3,-0.008,-0.034,0.01,-1.605,-0.048,-0.219
83.8,-0.042,0.007,-0.02,-1.55,0.023,-3.035
80.2,-0.02,-0.002,-0.025,-1.528,-0.047,-1.665
95.7,-0.01,-0.014,-0.003,-1.487,-0.01,1.236
85.5,0.011,-0.001,0.002,-1.586,-0.015,-2.718
88.1,-0.037,0.012,0.017,-1.567,0,-2.771
87.2,-0.035,0.009,0.01,-1.516,-0.008,0.898
118,-0.022,0.032,0.016,-1.649,0.021,2.808
89.7,-0.023,-0.002,0.01,-1.56,0.01,0.094
83.5,-0.025,0.007,0.011,-1.559,-0.022,-2.82
89.2,-0.002,0.058,-0.008,-1.526,0.046,-1.66
74.8,0.007,0.027,-0.015,-1.522,0.023,2.173
85.8,-0.014,0.027,0,-1.523,0.003,1.355
96.2,-0.002,-0.01,-0.003,-1.611,-0.095,-2.691
97.7,-0.008,0.034,-0.049,-1.461,-0.045,-0.776
91,0.009,-0.017,-0.032,-1.582,-0.028,-1.389
89.2,-0.026,0.005,0.032,-1.59,0.022,-0.418
97.7,-0.001,0.014,0.013,-1.564,0.013,0.056
83.1,-0.025,0.013,-0.006,-1.521,0,2.956
95.1,0.005,-0.017,0.004,-1.548,0.028,-0.799
99.2,0.013,-0.008,0.006,-1.61,-0.003,-2.929
114.2,-0.016,-0.305,-0.005,-1.627,-0.292,-0.507
91.4,-0.009,-0.002,-0.025,-1.568,0.056,0.217
130.8,-0.06,-0.003,0.008,-1.551,-0.034,0.362
46.2,-0.023,0,-0.009,-1.516,0.049,-1.141
97.1,-0.012,-0.019,0.03,-1.532,0.02,-0.95
143.9,-0.025,-0.004,-0.028,-1.511,0.012,2.909
97.7,-0.009,-0.028,0.008,-1.578,-0.041,-0.206
94.1,-0.026,0.035,0.001,-1.588,-0.058,-2.725
97.5,-0.04,-0.002,0.012,-1.509,0.001,0.825
113.5,0.049,0,-0.057,-1.484,-0.053,-0.167
104,-0.038,-0.026,-0.011,-1.537,-0.071,0.77
85.7,-0.01,-0.001,0.017,-1.592,-0.021,-1.022
84.1,0.017,0.005,0.002,-1.515,-0.01,0.875
89.5,-0.014,0.033,-0.033,-1.539,-0.002,1.382
105.9,-0.066,0.016,-0.009,-1.513,-0.029,-2.63
100.2,-0.057,0.007,0.007,-1.615,0.035,2.94
73.5,-0.01,0.015,-0.021,-1.594,0.013,-0.097
92.4,-0.005,-0.025,0.017,-1.526,-0.036,-1.336
109.8,-0.013,0.021,-0.016,-1.534,0.028,1.19
88.5,-0.028,0.016,-0.021,-1.544,0.02,0.092
108.9,-0.019,0.001,0.003,-1.51,0.004,2.366
80.5,-0.003,0.012,-0.005,-1.562,0.002,-0.159
54.5,-0.018,-0.195,-0.208,-1.817,0.072,2.357
82.8,0.003,0.009,0.001,-1.581,0.065,0.333
85.8,-0.013,-0.035,0.003,-1.572,0.038,-0.168
109.8,-0.037,0.036,-0.024,-1.506,0.015,-1.751
79.8,0.004,0.028,0.009,-1.547,-0.033,1.968
73.6,-0.003,-0.124,0,-1.604,0.085,-1.933
117.8,-0.092,-0.303,-0.146,-1.691,-0.309,-0.725
93.3,-0.021,-0.03,-0.026,-1.599,-0.047,-0.305
90.9,-0.003,-0.013,0.02,-1.561,0.009,-1.061
103.8,-0.01,-0.005,0,-1.559,-0.015,-0.826
47,-0.017,0.019,0.004,-1.598,0.216,1.182
90.1,-0.024,0.012,0,-1.556,0.034,0.871
78.5,0.009,-0.026,0.009,-1.553,0.001,-1.025
88.4,0.033,-0.014,-0.031,-1.53,0.007,-0.499
85.9,-0.115,-0.402,-0.098,-1.705,-0.445,-0.481
83.7,-0.01,-0.023,-0.013,-1.555,-0.011,1.973
88.6,0.004,-0.024,-0.015,-1.49,0.017,0.559
92.7,0.007,-0.004,-0.008,-1.514,-0.011,1.759
104.9,-0.015,-0.051,0.003,-1.498,0.006,-1.883
92.9,-0.037,-0.028,0.006,-1.582,-0.038,-0.261
58.7,0.02,0.003,0.03,-1.517,-0.005,2.211
126.1,-0.052,-0.363,0.012,-1.573,-0.358,-0.41
137.1,0.078,-0.022,0.024,-1.578,0.051,2.954
114.3,-0.028,-0.043,0.004,-1.515,-0.046,-0.938
80.5,0.001,0.007,0.02,-1.552,0.017,-2.568
75.6,-0.018,0.002,0.02,-1.6,0.005,0.007
112.4,0.023,-0.026,-0.008,-1.585,-0.036,0.414
105.3,-0.004,-0.01,0.006,-1.557,-0.002,-2.711
87.8,0.016,-0.011,-0.009,-1.575,-0.038,-0.833
97.1,0.018,-0.045,0.009,-1.6,-0.003,0.228
91.6,-0.011,0.002,-0.007,-1.528,0.025,0.092
98.1,0,-0.034,0.004,-1.586,-0.031,1.47
77.4,-0.004,0.007,-0.035,-1.52,-0.005,-0.815
111.2,0.055,0.022,0.005,-1.525,0.005,-0.805
96.7,-0.071,0.01,-0.003,-1.512,0.038,-1.716
91.3,0.012,-0.005,0.016,-1.586,0,-0.07
89.5,-0.017,0.011,-0.019,-1.526,-0.025,1.038
130.2,-0.027,-0.006,0.006,-1.549,0.013,0.418
110.6,-0.013,0.007,-0.005,-1.552,0.013,2.032
98.4,-0.017,0.043,-0.016,-1.516,-0.012,1.381
121.4,-0.074,-0.262,-0.141,-1.684,-0.322,-0.724
114.7,0.047,-0.016,0.016,-1.55,0.003,2.653
122.7,-0.023,-0.01,0.009,-1.615,-0.014,-2.522
86.4,0.021,0.041,-0.009,-1.533,-0.007,-1.268
103.3,0,0.001,-0.016,-1.533,-0.043,-1.424
94,-0.012,0.006,-0.016,-1.524,0.002,0.677
94.4,0.023,-0.027,-0.035,-1.55,-0.016,-2.803
90.4,-0.055,-0.008,-0.059,-1.597,0.013,-0.629
94.2,-0.043,0.017,-0.012,-1.499,-0.07,-1.592
87.9,-0.014,0.035,0.005,-1.564,0.002,0.29
88.8,-0.065,0.043,-0.021,-1.51,0.064,1.355
78,0.016,0.003,-0.013,-1.576,-0.013,-0.145
91.6,-0.032,-0.017,0.003,-1.605,-0.047,-0.274
93.8,-0.033,0.009,0.003,-1.551,-0.037,0.934
97.8,0.001,0,-0.006,-1.488,0.015,0.087
82.2,-0.015,-0.006,0.013,-1.544,-0.042,0.439
102.6,-0.018,0.016,0.008,-1.584,0.007,0.171
50.4,-0.021,0.024,-0.062,-1.593,0.015,1.852
99,0.006,-0.047,-0.006,-1.533,0.017,0.149
132.9,-0.019,-0.347,0.005,-1.536,-0.305,-0.176
108.4,-0.047,0.028,-0.03,-1.522,-0.024,-2.435
97.3,-0.015,0.014,0.006,-1.561,-0.06,-2.859
82.5,-0.04,-0.011,-0.009,-1.555,-0.046,0.438
68.2,-0.001,0.001,-0.013,-1.511,0.014,-2.949
113.4,-0.039,0.062,0.014,-1.64,-0.034,1.978
85.9,-0.01,0.01,0.03,-1.588,-0.017,1.615
97.2,-0.036,-0.038,-0.014,-1.556,-0.001,-3.085
115.6,-0.04,0.012,-0.006,-1.56,0.017,-1.169
